OBJECTID,StreetID,Name,Type,LeftFrom,LeftTo,RightTo,SegmentID,Surface,Class,Curb,Width,Miles,Cross1,Cross12,Cross2,Cross22,GlobalID
5597,3.0,BECKETTS RIDGE,DR,2401,2411,2412,8074,Asphalt,Local,No,,0.10506,WOODBURY DR, ,CHANDLER CT, ,{C66BA574-7123-41DB-9288-082444A58FD0}
5598,2694.0,WOODBURY,DR,2301,2329,2330,8075,Asphalt,Private,No,,0.19529,WOODBURY DR,WOODBURY DR,BECKETTS RIDGE DR,BECKETTS RIDGE DR,{BBCF85C0-85DE-4F76-AFFF-FD39E9F0FCA8}
5599,1651.0,NASH,ST,201,209,208,8076,Asphalt,Major Coll,,,0.03658,LATIMER ST,TRYON ST,QUEEN ST, ,{D30D3FA1-2B72-457D-8120-3626A1EF25D9}
5600,1335.0,LATIMER,ST,501,503,504,8077,BST,Local,,,0.03012,TRYON ST,NASH ST,HAYES ST,HAYES ST,{8732DAEC-22C4-4901-9FE4-4159E6B9780A}
5601,2456.0,TRYON,ST,401,451,450,8078,BST,Local,,,0.14031,OCCONEECHEE ST,OCCONEECHEE ST,NASH ST,LATIMER ST,{E745F0DD-47AC-4582-AF64-D74016352E6C}
5602,1651.0,NASH,ST,101,115,116,26856,Asphalt,Major Coll,,,0.08877,KING ST,S NASH ST,,MASON PAYNE RD,{005E038C-A23D-404A-99B7-0BCB33F2AED9}
5603,405.0,CORBIN,ST,111,117,116,8080,Asphalt,Local,No,,0.07629,MCADAMS RD, ,WAKE ST, ,{2DC3F222-926D-4D0F-8230-7D6EA719F669}
5604,405.0,CORBIN,ST,119,131,130,8081,Asphalt,Local,No,,0.0662,MCADAMS RD, ,WAKE ST, ,{64296891-4568-4471-8D68-34B5996BADAA}
5605,2561.0,WARNER,LN,101,117,118,8082,Unpaved,Local,No,,0.1124,W CORBIN ST,W CORBIN ST,,,{43F686BB-266C-4502-82F4-06EFDA3597EB}
5606,3689.0,HARAMBEE,DR,100,120,119,8085,BST,Private,No,,0.08695,MILL CREEK RD,MILL CREEK RD,,,{39392B9A-1D06-4C1D-817A-B7BF3CDBC26B}
5607,1557.0,MILL CREEK,RD,3818,4024,4025,8086,Asphalt,Minor Coll,No,,0.32147,HARAMBEE DR, ,HARMONY CH RD,HARMONY CH RD,{BE8B3D39-C76F-4A89-B051-F799941D67C5}
5608,1557.0,MILL CREEK,RD,3800,3816,3815,8087,Asphalt,Minor Coll,No,,0.08623,CHARLIE'S DEAD END, ,HARAMBEE DR,,{0F893219-AC96-4967-8496-A2ECA869D95F}
5609,1658.0,NC 86, ,5600,5914,5915,8088,Asphalt,Minor Art,No,,0.45368,CARR STORE RD,SAWMILL RD,MERLOT LN, ,{8ACD0C06-A33B-4345-A117-37CF54875E90}
5610,3850.0,MERLOT,LN,100,124,125,8089,Unpaved,Private,No,,0.22762,NC 86 N,NC 86 N,,,{F71D2DAA-69D2-4F94-A44A-357B9896DEEF}
5611,3955.0,ELK,RDG,3000,3024,3025,8090,Unpaved,Private,No,,0.08718,MARY HALL RD,MARY HALL RD,,,{B5CD2A7F-ED52-4E0F-B443-EFDCDE8AA671}
